PC1,PC2,employee_id,attrition
-1.4599641350917063,1.2319420500134926,1,No
-0.7427322511566119,-0.893838605397205,2,Yes
-0.4930456702285013,-0.430569186845922,3,No
1.0943534309879304,-0.75807596189005,4,No
-0.6278661211666686,-1.0642859744748374,5,No
1.8521704154264778,-1.236986043569441,6,No
-2.8565711264253517,-1.6356801447461913,7,Yes
-2.23279658695481,-1.6406853805755568,8,No
1.3659032562461157,-0.8926138737315636,9,No
-0.24144219620826848,-0.7602230823301142,10,No
3.5566527456239756,-0.7359481671049518,11,No
3.525132993770696,-0.44118113632316125,12,No
5.662706997143881,-0.6916642260921124,13,No
2.6953249713090037,-0.6732002392193394,14,Yes
-0.5116279238679529,-0.8426970542673162,15,No
-0.8481021140209445,-1.0154709352240077,16,No
-1.7552019733872106,-0.6460238653387667,17,No
-0.7003524470053035,-1.0289468016321204,18,No
-0.1096766108222122,1.3243726963697668,19,No
1.4440052635544565,-0.7730778436585936,20,No
-0.42350290045057903,-0.3533511307844013,21,No
1.0475466656515358,0.7915787530243878,22,No
0.3299349328097466,-1.2773227204985576,23,No
4.19102883335922,-0.3975584404590989,24,No
0.7909388727973956,-0.316250975846295,25,No
1.5103290111746817,-0.6919851821984431,26,No
-0.3179583077980702,-1.22230762152021,27,No
1.913519656054817,3.7886939956383894,28,No
-1.2073457507267822,-1.286857600648321,29,Yes
-1.7084231240358598,2.7260816743663474,30,No
-1.540192495511004,-0.9548518796558301,31,Yes
-1.1091824208638081,-0.5349604243317763,32,No
-0.5153955615351778,-1.4218586198194374,33,No
0.8495339485728941,1.8649998301845632,34,No
-1.0633426816080498,-0.751708407343397,35,No
0.49679419272761616,-0.7897715122829359,36,Yes
-0.8236122010103122,3.6730158064643263,37,No
2.7283702985865,3.629187332689476,38,No
-3.2684843795210026,-0.9802869367409944,39,Yes
1.8411906626398622,1.6392962821535455,40,No
-1.8957350239588253,-0.7465631870741711,41,No
-0.5324411363837869,-1.3432118234428527,42,No
2.077794910644214,-0.6911431617978492,43,No
-3.4669434961430676,1.4689900568026832,44,No
-0.0993156701807758,-1.219651671546411,45,No
1.3376410454432577,-0.6550390063048697,46,No
1.8530702421962553,3.2749558934890475,47,No
0.628133725403534,-1.439780077428159,48,No
1.3393087051154462,3.240244617022061,49,No
0.03458587031357876,-1.266934724992444,50,No
-0.14135193188646275,-1.1084835778248427,51,No
-0.49237939521213536,-0.6558940249737687,52,No
-2.0314332736466256,2.507567466025638,53,No
4.788809103716579,-0.45302686373894296,54,No
-1.6581428614991003,3.36414218523194,55,No
1.8239290234466206,-0.7043392430994226,56,No
4.037135674301402,1.3068684679936284,57,No
0.4804502575040305,-0.39213618878784584,58,No
0.355185425411137,-1.7976251304148547,59,No
1.771411572387688,-1.074269262306959,60,Yes
-1.3487020030149297,-1.1887356689359478,61,No
2.81427217607861,-0.4049979306866008,62,No
-0.8917802874182774,-0.6956608506227353,63,No
-0.05256171983572039,1.7059331589801225,64,No
-0.20325362056396648,-0.7452762616462216,65,No
-1.0672486605985592,-1.207928415679562,66,Yes
1.0076058617591364,-0.6679624277109956,67,No
2.0619251400154956,-0.6376651739592641,68,No
3.822351688763075,-0.39055524446608025,69,No
-1.5381591309802163,-1.6475203713134423,70,Yes
-1.147851973607162,2.04153322791187,71,No
-0.5974428812278487,-1.9313960536576076,72,No
-0.18692727383779553,-0.6564968248764506,73,No
-0.4156546620498615,-0.9757408205738793,74,No
-0.3096968924088029,-0.893793457857995,75,No
-1.8406060856505655,-2.2479918160848706,76,No
1.9649723242026838,2.9820797070475455,77,No
-0.9421796857542715,-0.6579168324312851,78,No
0.4387386832191911,-0.8717975745796767,79,Yes
-1.615029281813889,0.05775499566080014,80,No
0.052812235075767766,-0.6266148413537145,81,No
0.35638448342736645,-1.0601753400961984,82,No
-0.7099148599308761,1.2864183433768512,83,No
1.6034337416189997,-0.6805831756897888,84,No
1.399661386162612,-0.747913662374942,85,No
0.21248590230909006,-0.5890876898181694,86,No
2.0166964765973594,2.107976564115822,87,No
-1.3553481283724063,-1.2295310309597132,88,No
-0.8363130046450181,-1.2906182075135624,89,No
